dataset_id,name,stage,domain,scope,reference_date,path,format,row_count,column_count,member_count,crs,bytes,availability_status,verification_status,repository_policy,license_status,source_url,derived_from,notes
building_hub_floor_failures,건축HUB 층별개요 호출 실패 로그,run-log,building,경북 지하주차장 후보 범위,2026-08-22,data/raw/building-register/floor_failures.jsonl,JSONL,14,2,,N/A,2030,RUN_LOG_NOT_TRAINING_DATA,JSONL_PARSE_VERIFIED,LOCAL_ONLY_GITIGNORED,N/A,https://www.data.go.kr/data/15134735/openapi.do,,재시도 후 성공한 항목이 포함될 수 있어 미수집 행 수로 해석하지 않는다.
building_hub_floor_raw,건축HUB 층별개요 원응답,raw,building,경북 지하주차장 후보 범위,2026-08-22,data/raw/building-register/floor_rows.jsonl,JSONL,26945,35,,N/A,23062079,READY_LOCAL_ONLY,JSONL_PARSE_VERIFIED,LOCAL_ONLY_GITIGNORED,공공데이터포털 이용허락 제한 없음 표기; 원응답 재배포는 별도 확인,https://www.data.go.kr/data/15134735/openapi.do,,
building_hub_title_raw,건축HUB 표제부 원응답,raw,building,경북 GIS 지하층 후보 범위,2026-08-22,data/raw/building-register/title_rows.jsonl,JSONL,43681,79,,N/A,76096853,READY_LOCAL_ONLY,JSONL_PARSE_VERIFIED,LOCAL_ONLY_GITIGNORED,공공데이터포털 이용허락 제한 없음 표기; 원응답 재배포는 별도 확인,https://www.data.go.kr/data/15134735/openapi.do,,
building_register_floors,경북 지하주차장 후보 층별개요,interim,building,경상북도 후보 범위,2026-08-22,data/interim/building-register/gyeongbuk_probable_parking_floors.csv,CSV,26921,35,,N/A,9328409,READY_LOCAL_ONLY,ROW_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,건축HUB 이용조건 적용,https://www.data.go.kr/data/15134735/openapi.do,building_hub_floor_raw,
building_register_gis_candidates,GIS 지하층 보유 건물 후보,interim,building,경상북도,2025-12-04,data/interim/building-register/gyeongbuk_gis_basement_candidates.csv,CSV,25340,13,,N/A (이 표에는 geometry 없음),4346305,READY_LOCAL_ONLY,ROW_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,VWorld 원본 재배포 조건 확인 필요,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,vworld_gyeongbuk_buildings_20251204,
building_register_parking_candidates,경북 지하주차장 판정 후보 통합표,interim,building,경상북도 후보 범위,2026-08-22,data/interim/building-register/gyeongbuk_underground_parking_candidates.csv,CSV,43681,83,,N/A,27178134,READY_LOCAL_ONLY,ROW_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,건축HUB·VWorld 이용조건 적용,https://www.data.go.kr/data/15134735/openapi.do,building_register_titles;building_register_floors,
building_register_titles,경북 지하층 후보 건축물대장 표제부,interim,building,경상북도 후보 범위,2026-08-22,data/interim/building-register/gyeongbuk_basement_candidate_titles.csv,CSV,43681,79,,N/A,22372893,READY_LOCAL_ONLY,ROW_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,건축HUB 이용조건 적용,https://www.data.go.kr/data/15134735/openapi.do,building_hub_title_raw,
flood_trace_gyeongbuk_event_candidates,경북 침수 시작일시 조합,interim,flood,경상북도,2002-2021 관측 기록,data/interim/flood-trace/gyeongbuk/gyeongbuk_flood_events.csv,CSV,30,8,,N/A,3622,READY_WITH_LIMITATIONS,ROW_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,원본과 동일한 재사용 조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_gyeongbuk_raw,30개 날짜·시각 조합이며 독립적인 호우 사건 30개로 확정한 값은 아니다.
flood_trace_gyeongbuk_raw,경상북도 침수흔적도 부분집합,raw,flood,경상북도,2024-11-27,data/raw/flood-trace/gyeongbuk_flood_2002_2022.geojson,GeoJSON,1402,16,,EPSG:4326 / CRS84,2291428,READY,NATIONAL_SUBSET_VERIFIED,GIT_TRACKED,OPEN—행정안전부·Esri Korea 재사용 조건 재확인 필요,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_korea_raw,전국 원본의 stdg_ctpv_cd=47 결과와 objectid·속성·도형이 일치한다.
flood_trace_gyeongbuk_records,경북 침수흔적 속성표,interim,flood,경상북도,2024-11-27,data/interim/flood-trace/gyeongbuk/gyeongbuk_flood_records.csv,CSV,1402,16,,N/A (geometry excluded),239130,READY,ROW_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,원본과 동일한 재사용 조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_gyeongbuk_raw,
